Company Name,Company url,ROP,Title,TN,Meta,MN,LVTN,LVDN,Links,Word,DCNAIH,RatioWL,External,Internal,We,Et,RV
apple,https://en.wikipedia.org,2,0,0,1,1,23,22,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
applied materials,https://en.wikipedia.org,2,1,0.5,1,0.5,14,19,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
aramark,https://en.wikipedia.org,2,1,1,2,2,13,22,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
arbonne international llc,https://en.wikipedia.org,2,1,1,0,0,13,23,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
arcadis,https://careers.arcadis.com,2,2,2,1,1,39,20,10,541,1,54.1,2,9,270.5,0.2,1
arcelormittal,https://en.wikipedia.org,2,0,0,0,0,27,21,269,1377,0,5.118959108,91,188,15.13186813,0.3382899628,0
arizona state university,https://asuonline.asu.edu,2,1,0.33,1,0.33,16,23,98,2344,1,23.91836735,0,0,0,0,1
army national guard,https://en.wikipedia.org,2,1,0.33,1,0.33,15,21,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
arup,https://www.arup.com,2,2,2,2,2,15,16,181,1220,1,6.740331492,0,0,0,0,1
asda,https://en.wikipedia.org,2,1,1,1,1,13,21,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
astrazeneca,https://en.wikipedia.org,2,1,1,2,2,14,19,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
at&t,https://www.att.com,2,1,1,3,3,52,17,33,968,1,29.33333333,1,31,968,0.0303030303,1
atkins,http://www.atkins.com.hk,2,1,1,1,1,7,18,0,0,1,0,0,0,0,0,1
atlas copco,https://www.atlascopcogroup.com,2,1,1,1,1,34,21,254,1241,1,4.885826772,14,96,88.64285714,0.05511811024,1
atos,https://atos.net,2,1,1,1,1,18,12,52,2019,1,38.82692308,14,225,144.2142857,0.2692307692,1
auchan,https://www.auchan-retail.com,2,1,1,1,1,22,23,37,664,1,17.94594595,0,0,0,0,1
aucune,https://french.kwiziq.com,2,,,2,2,48,24,85,1037,1,12.2,11,25,94.27272727,0.1294117647,1
aurora health care,https://www.linkedin.com,2,1,0.33,2,0.66,14,23,2,506,1,253,11,97,46,5.5,0
autônoma,https://www.amazon.in,2,1,1,1,1,52,18,85,0,1,0,32,110,0,0.3764705882,0
autonomo,https://au.linkedin.com,2,1,1,0,0,13,19,98,506,1,5.163265306,32,76,15.8125,0.3265306122,0
aviva,https://www.aviva.com,2,2,2,0,0,29,16,252,1005,1,3.988095238,16,86,62.8125,0.06349206349,1
avon,https://www.avon.com,2,1,1,5,5,41,16,108,4,1,0.03703703704,0,0,0,0,1
axa,https://www.bharti-axalife.com,2,1,1,3,3,59,27,0,1886,1,0,28,81,67.35714286,0,1
axis bank,https://retail.axisbank.co.in,2,2,2,1,1,19,22,85,0,1,0,0,0,0,0,1
"ayatama energi, trisco nusantara",https://au.linkedin.com,2,1,0.5,3,1,40,28,269,506,1,1.881040892,32,76,15.8125,0.1189591078,0
bae systems,https://en.wikipedia.org,2,1,0.5,1,0.5,16,22,85,1377,1,16.2,91,188,15.13186813,1.070588235,0
baker hughes,https://www.linkedin.com,2,1,0.5,2,1,13,23,85,506,1,5.952941176,0,0,0,0,0
banco do brasil,https://www2.bancobrasil.com.br,2,1,0.5,1,0.33,7,24,0,83,1,0,0,0,0,0,1
banco santander,https://www.santander.cl,2,1,0.5,0,0,2,15,2,0,1,0,0,0,0,0,1
bank of america,https://hi.wikipedia.org,2,0,0,0,0,26,22,269,837,0,3.111524164,432,308,1.9375,1.605947955,0
bank of america merrill lynch,https://www.bankofamerica.com,2,1,0.33,0,0,40,28,100,2143,1,21.43,0,0,0,0,1
banner health,https://en.wikipedia.org,2,1,0.5,1,0.5,14,21,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
barclays,https://home.barclays,2,1,1,4,4,20,13,17,337,1,19.82352941,4,14,84.25,0.2352941176,1
barclays investment bank,https://www.barclays.in,2,1,0.33,0,0,31,23,26,1060,1,40.76923077,0,0,0,0,1
basf,https://en.wikipedia.org,2,1,1,2,2,16,23,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
baxter international inc.,https://www.linkedin.com,2,1,1,1,1,14,21,85,506,1,5.952941176,11,97,46,0.1294117647,0
bayer,https://www.cropscience.bayer.com,2,1,1,1,1,14,28,168,3463,1,20.61309524,0,0,0,0,1
bayer healthcare,https://en.wikipedia.org,2,0,0,0,0,12,21,269,1377,0,5.118959108,91,188,15.13186813,0.3382899628,0
