Company Name,Company url,Rank of page,Appeared in Title,Ttile and normalized(3),Number of words in company name appering in meta tag(4),"Number of words in company name appering in meta tag,normalized(5)",Levenshtein title and name(6),Levenshtein distance(Domain-Name)7,no. of links(8),Word Count(9),Does Company name apperars in html(10),Ratio of words in the site content to all links on the page(11),Response Variable
bell,https://en.wikipedia.org,4,0,0,1,1,30,23,225,1216,1,5.404444444,0
Best Buy,https://www.linkedin.com,4,0,0,1,0.5,25,23,108,506,1,4.685185185,0
BHP Billiton,https://www.britannica.com,4,0,0,1,1,16,23,204,3766,1,18.46078431,1
BIOCOLLOIDS FATE AND TRANSPORT IN ENVIRONMENTAL SYSTEMS,https://www.linkedin.com,4,0,0,1,1,55,55,108,506,1,4.685185185,0
BlackRock,https://www.linkedin.com,4,0,0,1,1,26,21,108,506,1,4.685185185,0
Bloomberg,https://www.linkedin.com,4,0,0,1,1,24,23,108,506,1,4.685185185,0
BMO,https://en.wikipedia.org,4,0,0,3,3,32,24,225,1216,1,5.404444444,0
BNP Paribas,https://www.bnpparibas.co.in,4,1,1/2,1,1,21,22,43,374,1,8.697674419,1
BNP Paribas Fortis,https://be.linkedin.com,4,0,0,1,1,29,21,108,506,1,4.685185185,0
Boeing,https://en.wikipedia.org,4,0,0,1,1,29,21,225,1216,1,5.404444444,0
